epoch,train_loss,train_acc,test_loss,test_acc,orth_avg_alpha,orth_avg_clamp
1,1.570214,0.565445,1.109729,0.675500,0.300000,0.000000
2,0.972838,0.712400,1.072806,0.693300,0.300000,0.000000
3,0.735722,0.777564,0.977053,0.729900,0.300000,0.000000
4,0.569162,0.821995,0.990458,0.729600,0.300000,0.000000
5,0.451018,0.857272,0.987734,0.742100,0.300000,0.000000
6,0.368825,0.879848,1.034289,0.745000,0.300000,0.000000
7,0.300133,0.902143,1.108833,0.735800,0.300000,0.000000
8,0.257357,0.915685,1.083237,0.751200,0.300000,0.000000
9,0.217521,0.928606,1.110602,0.753400,0.300000,0.000000
10,0.186459,0.939643,1.106239,0.749400,0.300000,0.000000
11,0.164918,0.947115,1.164099,0.750700,0.300000,0.000000
12,0.146945,0.952804,1.188845,0.755400,0.300000,0.000000
13,0.123262,0.959515,1.278118,0.758300,0.300000,0.000000
14,0.113421,0.963922,1.303837,0.760200,0.300000,0.000000
15,0.103291,0.966967,1.385013,0.751900,0.300000,0.000000
16,0.090957,0.971755,1.323110,0.755700,0.300000,0.000000
17,0.080587,0.973958,1.383425,0.756200,0.300000,0.000000
18,0.072616,0.976442,1.387044,0.761200,0.300000,0.000000
19,0.063809,0.981250,1.458265,0.765200,0.300000,0.000000
20,0.056833,0.982812,1.330912,0.774200,0.300000,0.000000
21,0.048076,0.984796,1.433151,0.771800,0.300000,0.000000
22,0.042223,0.987059,1.602158,0.763700,0.300000,0.000000
